Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-04-03,2018,4,3,Tuesday,13,2018-13,41.91,42.19,41.22,42.1,121112000,40.02,0.010259085158793813,40.76428571428572,40.635799999999996
2018-04-04,2018,4,4,Wednesday,13,2018-13,41.22,43.0,41.19,42.9,138422000,40.79,0.0191224994583854,40.64857142857142,40.6136
2018-04-05,2018,4,5,Thursday,13,2018-13,43.15,43.56,43.02,43.2,107732800,41.07,0.006933986606943332,40.549285714285716,40.5968
2018-04-06,2018,4,6,Friday,13,2018-13,42.74,43.12,42.05,42.1,140021200,40.02,-0.02557848862778378,40.385714285714286,40.5724
2018-04-09,2018,4,9,Monday,14,2018-14,42.47,43.27,42.46,42.51,116070800,40.42,0.009917973759800525,40.29642857142858,40.5708
2018-04-10,2018,4,10,Tuesday,14,2018-14,43.25,43.5,42.88,43.31,113634400,41.18,0.018818133408637916,40.26285714285715,40.5824
2018-04-11,2018,4,11,Wednesday,14,2018-14,43.06,43.48,42.92,43.11,89726400,40.99,-0.0046753058106525636,40.28285714285715,40.607
2018-04-12,2018,4,12,Thursday,14,2018-14,43.35,43.75,43.26,43.53,91557200,41.39,0.009858508654035925,40.37285714285714,40.6444
2018-04-13,2018,4,13,Friday,14,2018-14,43.69,43.96,43.46,43.68,100497200,41.53,0.003387821299477123,40.53928571428571,40.6824
2018-04-16,2018,4,16,Monday,15,2018-15,43.76,44.05,43.71,43.96,86313600,41.79,0.00623819728829389,40.59142857142858,40.723800000000004
2018-04-17,2018,4,17,Tuesday,15,2018-15,44.12,44.74,44.1,44.56,106421600,42.36,0.013764212718306634,40.759285714285724,40.8112
2018-04-18,2018,4,18,Wednesday,15,2018-15,44.45,44.71,44.22,44.46,83018000,42.27,-0.0022445643130212245,40.95214285714286,40.9158
2018-04-19,2018,4,19,Thursday,15,2018-15,43.44,43.85,43.17,43.2,139235200,41.07,-0.028339880379789184,41.037142857142854,40.9654
2018-04-20,2018,4,20,Friday,15,2018-15,42.65,42.81,41.36,41.43,261964400,39.39,-0.04097200337304063,41.020714285714284,40.997800000000005
2018-04-23,2018,4,23,Monday,16,2018-16,41.71,41.73,41.02,41.31,146062000,39.27,-0.0028963470735330343,40.96714285714286,41.04860000000001
2018-04-24,2018,4,24,Tuesday,16,2018-16,41.42,41.58,40.31,40.74,134768000,38.73,-0.013919363326590606,40.82,41.0796
2018-04-25,2018,4,25,Wednesday,16,2018-16,40.65,41.35,40.6,40.91,113528400,38.9,0.004357377661822648,40.665000000000006,41.0842
2018-04-26,2018,4,26,Thursday,16,2018-16,41.03,41.43,40.84,41.06,111852000,39.03,0.003483273188181979,40.59428571428572,41.0836
2018-04-27,2018,4,27,Friday,16,2018-16,41.0,41.08,40.16,40.58,142623200,38.58,-0.011569727445208233,40.46285714285714,41.0596
2018-04-30,2018,4,30,Monday,17,2018-17,40.53,41.81,40.46,41.31,169709600,39.28,0.018112082961720732,40.32714285714286,41.0228
2018-05-01,2018,5,1,Tuesday,17,2018-17,41.6,42.3,41.32,42.28,214277600,40.19,0.023236245816401713,40.269999999999996,41.007
2018-05-02,2018,5,2,Wednesday,17,2018-17,43.81,44.44,43.45,44.14,266157600,41.97,0.04417514172339909,40.31142857142857,41.029399999999995
2018-05-03,2018,5,3,Thursday,17,2018-17,43.97,44.38,43.61,44.22,136272800,42.04,0.0018122163213818432,40.347857142857144,41.056999999999995
2018-05-04,2018,5,4,Friday,17,2018-17,44.56,46.06,44.54,45.96,224805200,43.69,0.03923327952580902,40.48357142857143,41.1108
2018-05-07,2018,5,7,Monday,18,2018-18,46.29,46.92,46.19,46.29,169805600,44.01,0.007235073671697068,40.60142857142858,41.156800000000004
2018-05-08,2018,5,8,Tuesday,18,2018-18,46.25,46.56,45.92,46.51,113611200,44.22,0.004806678399123854,40.74071428571428,41.1904
2018-05-09,2018,5,9,Wednesday,18,2018-18,46.64,46.85,46.31,46.84,92844800,44.53,0.007040995987788179,40.987857142857145,41.233000000000004
2018-05-10,2018,5,10,Thursday,18,2018-18,46.94,47.59,46.91,47.51,111957200,45.17,0.014304168419177143,41.40071428571429,41.2896
2018-05-11,2018,5,11,Friday,18,2018-18,47.37,47.51,46.86,47.15,104848800,45.0,-0.0038034027173869944,41.809999999999995,41.3578
2018-05-14,2018,5,14,Monday,19,2018-19,47.25,47.38,46.97,47.04,83115200,44.89,-0.0023331426985375714,42.25,41.418
2018-05-15,2018,5,15,Tuesday,19,2018-19,46.69,46.77,46.28,46.61,94780800,44.48,-0.00908825400612856,42.64857142857142,41.467
2018-05-16,2018,5,16,Wednesday,19,2018-19,46.52,47.12,46.5,47.04,76732400,44.9,0.009332568975504607,43.067857142857136,41.5252
2018-05-17,2018,5,17,Thursday,19,2018-19,47.0,47.23,46.59,46.75,69176000,44.62,-0.00632368606581768,43.49928571428571,41.58560000000001
2018-05-18,2018,5,18,Friday,19,2018-19,46.8,46.95,46.53,46.58,73190800,44.45,-0.0036365800346865873,43.86857142857143,41.6334
2018-05-21,2018,5,21,Monday,20,2018-20,47.0,47.32,46.73,46.91,73603200,44.77,0.007084827073925215,44.19571428571429,41.67320000000001
2018-05-22,2018,5,22,Tuesday,20,2018-20,47.1,47.22,46.69,46.79,60962800,44.66,-0.0025050206073264913,44.387857142857136,41.702600000000004
2018-05-23,2018,5,23,Wednesday,20,2018-20,46.59,47.12,46.44,47.09,80233600,44.94,0.006411797338067959,44.595000000000006,41.7458
2018-05-24,2018,5,24,Thursday,20,2018-20,47.19,47.21,46.55,47.04,92936000,44.89,-0.0011149031871886539,44.68071428571428,41.7954
2018-05-25,2018,5,25,Friday,20,2018-20,47.06,47.41,46.91,47.15,69844000,44.99,0.002285319612918224,44.75071428571429,41.846
2018-05-29,2018,5,29,Tuesday,21,2018-21,46.9,47.19,46.72,46.97,90056400,44.83,-0.003605919126589585,44.79428571428571,41.8964
2018-05-30,2018,5,30,Wednesday,21,2018-21,46.93,47.0,46.69,46.88,74762000,44.74,-0.0021288202129262634,44.80928571428571,41.9578
2018-05-31,2018,5,31,Thursday,21,2018-21,46.81,47.06,46.53,46.72,109931200,44.59,-0.003359880622468503,44.767857142857146,42.0166
2018-06-01,2018,6,1,Friday,21,2018-21,47.0,47.56,46.94,47.56,93770000,45.39,0.018034073468076173,44.79571428571428,42.11019999999999
2018-06-04,2018,6,4,Monday,22,2018-22,47.91,48.35,47.84,47.96,105064800,45.77,0.008357928783387258,44.85857142857143,42.223
2018-06-05,2018,6,5,Tuesday,22,2018-22,48.27,48.49,48.09,48.33,86264000,46.12,0.007714906348224693,44.97571428571428,42.361399999999996
2018-06-06,2018,6,6,Wednesday,22,2018-22,48.41,48.52,47.98,48.49,83734400,46.28,0.0034660786540485766,45.07428571428572,42.4658
2018-06-07,2018,6,7,Thursday,22,2018-22,48.53,48.55,48.08,48.37,85388800,46.16,-0.002680666177359625,45.184285714285714,42.5888
2018-06-08,2018,6,8,Friday,22,2018-22,47.79,48.0,47.44,47.92,106627200,45.74,-0.00909772260660724,45.276428571428575,42.7122
2018-06-11,2018,6,11,Monday,23,2018-23,47.84,47.99,47.55,47.81,73234000,45.63,-0.0024515862793235144,45.337857142857146,42.82719999999999
2018-06-12,2018,6,12,Tuesday,23,2018-23,47.85,48.15,47.79,48.07,67644400,45.88,0.005490685782666205,45.425000000000004,42.9524
2018-06-13,2018,6,13,Wednesday,23,2018-23,48.1,48.22,47.61,47.67,86553600,45.5,-0.00821703851020672,45.464999999999996,43.062
2018-06-14,2018,6,14,Thursday,23,2018-23,47.89,47.89,47.56,47.7,86440400,45.52,0.0005244116780067642,45.51,43.1566
2018-06-15,2018,6,15,Friday,23,2018-23,47.51,47.54,47.06,47.21,246876800,45.06,-0.010272495001008464,45.515,43.236399999999996
2018-06-18,2018,6,18,Monday,24,2018-24,46.97,47.31,46.8,47.19,73939600,45.03,-0.0005295768905005938,45.52928571428572,43.3366
2018-06-19,2018,6,19,Tuesday,24,2018-24,46.28,46.58,45.86,46.42,134314000,44.31,-0.01616001814814849,45.49857142857143,43.41439999999999
2018-06-20,2018,6,20,Wednesday,24,2018-24,46.59,46.8,46.43,46.62,82514800,44.5,0.004362125936055783,45.49214285714286,43.4808
2018-06-21,2018,6,21,Thursday,24,2018-24,46.81,47.09,46.24,46.37,102847600,44.25,-0.005576361467006241,45.410714285714285,43.54600000000001
2018-06-22,2018,6,22,Friday,24,2018-24,46.53,46.54,46.17,46.23,108801600,44.12,-0.0029119201483184254,45.292857142857144,43.60059999999999
2018-06-25,2018,6,25,Monday,25,2018-25,45.85,46.23,45.18,45.54,126652400,43.47,-0.014871009554796588,45.103571428571435,43.6394
2018-06-26,2018,6,26,Tuesday,25,2018-25,45.75,46.63,45.63,46.11,98276800,44.0,0.01240577602779247,44.940714285714286,43.683600000000006
2018-06-27,2018,6,27,Wednesday,25,2018-25,46.31,46.82,46.01,46.04,101141200,43.94,-0.0014636580823981227,44.78214285714286,43.7152
2018-06-28,2018,6,28,Thursday,25,2018-25,46.03,46.55,45.95,46.38,69460800,44.26,0.0072760597492906864,44.67642857142857,43.755
2018-06-29,2018,6,29,Friday,25,2018-25,46.57,46.8,45.73,46.28,90950800,44.17,-0.0021022361997816708,44.57214285714286,43.817
2018-07-02,2018,7,2,Monday,26,2018-26,45.96,46.83,45.85,46.79,70925200,44.66,0.011182313100966512,44.485,43.922399999999996
2018-07-03,2018,7,3,Tuesday,26,2018-26,46.95,46.99,45.88,45.98,55819200,43.88,-0.01741646476591685,44.36928571428571,44.0146
2018-07-05,2018,7,5,Thursday,26,2018-26,46.31,46.6,46.07,46.35,66416800,44.24,0.008047319521867102,44.277857142857144,44.12480000000001
2018-07-06,2018,7,6,Friday,26,2018-26,46.35,47.11,46.3,46.99,69940800,44.85,0.013861577393541324,44.262857142857136,44.2438
2018-07-09,2018,7,9,Monday,27,2018-27,47.38,47.67,47.33,47.65,79026400,45.47,0.013885552785360966,44.294285714285714,44.372600000000006
2018-07-10,2018,7,10,Tuesday,27,2018-27,47.68,47.82,47.54,47.59,63756400,45.42,-0.0012069482029039014,44.37357142857143,44.5094
2018-07-11,2018,7,11,Wednesday,27,2018-27,47.12,47.44,46.9,46.97,75326000,44.83,-0.012976072086116286,44.39714285714286,44.6204
2018-07-12,2018,7,12,Thursday,27,2018-27,47.38,47.85,47.33,47.76,72164400,45.58,0.01676584743606435,44.492142857142866,44.728199999999994
2018-07-13,2018,7,13,Friday,27,2018-27,47.77,47.96,47.72,47.83,50055600,45.65,0.0015705176221869621,44.60142857142858,44.8018
2018-07-16,2018,7,16,Monday,28,2018-28,47.88,48.16,47.6,47.73,60172400,45.55,-0.002194942698934721,44.75,44.872
2018-07-17,2018,7,17,Tuesday,28,2018-28,47.44,47.97,47.3,47.86,62138000,45.68,0.0028282053077233194,44.870000000000005,44.9118
2018-07-18,2018,7,18,Wednesday,28,2018-28,47.94,47.95,47.48,47.6,65573600,45.43,-0.005484377336985813,44.97642857142857,44.9402
2018-07-19,2018,7,19,Thursday,28,2018-28,47.42,48.14,47.42,47.97,81147200,45.78,0.007773271152314409,45.084999999999994,44.9714
2018-07-20,2018,7,20,Friday,28,2018-28,47.94,48.11,47.54,47.86,82704800,45.68,-0.002293054918248716,45.19285714285714,44.9944
