Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-03-05,2018,3,5,Monday,09,2018-09,267.73,272.89,267.61,272.19,97307400,247.16,0.011557844803790962,246.55285714285714,248.93046511627907
2018-03-06,2018,3,6,Tuesday,09,2018-09,273.3,273.39,271.18,272.88,79213200,247.79,0.002534989297507506,246.9992857142857,248.90454545454543
2018-03-07,2018,3,7,Wednesday,09,2018-09,270.42,273.18,270.2,272.78,87063500,247.7,-0.0003665830457465491,247.20642857142857,248.87777777777777
2018-03-08,2018,3,8,Thursday,09,2018-09,273.55,274.24,272.42,274.1,66901200,248.9,0.00483903209501757,247.27571428571426,248.8782608695652
2018-03-09,2018,3,9,Friday,09,2018-09,275.7,278.87,275.34,278.87,113625300,253.23,0.01740266131952173,247.6492857142857,248.97085106382977
2018-03-12,2018,3,12,Monday,10,2018-10,279.2,279.91,278.08,278.52,71924800,252.91,-0.0012550294878903578,248.1107142857143,249.05291666666665
2018-03-13,2018,3,13,Tuesday,10,2018-10,279.84,280.41,276.03,276.72,91968900,251.28,-0.006462944525779446,248.5435714285714,249.09836734693877
2018-03-14,2018,3,14,Wednesday,10,2018-10,277.81,278.02,274.67,275.3,105895100,249.99,-0.005131325148733823,248.86142857142858,249.1162
2018-03-15,2018,3,15,Thursday,10,2018-10,275.88,276.61,274.43,275.0,83433000,249.71,-0.0010898375925301185,248.88000000000002,249.22920000000002
2018-03-16,2018,3,16,Friday,10,2018-10,274.5,275.39,274.14,274.2,100343700,249.99,0.0010841217892469945,248.71142857142857,249.317
2018-03-19,2018,3,19,Monday,11,2018-11,273.35,274.4,268.62,270.49,109208400,246.6,-0.013530193562107051,248.52571428571426,249.31620000000004
2018-03-20,2018,3,20,Tuesday,11,2018-11,270.94,271.67,270.18,270.95,59757300,247.02,0.0017010906731076414,248.5507142857143,249.291
2018-03-21,2018,3,21,Wednesday,11,2018-11,270.9,273.27,270.19,270.43,78709600,246.55,-0.0019195265295552932,248.79785714285714,249.24740000000003
2018-03-22,2018,3,22,Thursday,11,2018-11,267.91,268.87,263.36,263.67,148785900,240.39,-0.024997009186825014,248.51571428571427,249.0692
2018-03-23,2018,3,23,Friday,11,2018-11,264.17,264.54,257.83,258.05,183534800,235.26,-0.021314700421152466,247.6657142857143,248.796
2018-03-26,2018,3,26,Monday,12,2018-12,262.13,265.43,259.41,265.11,141956100,241.7,0.02735909668918257,247.2307142857143,248.61540000000002
2018-03-27,2018,3,27,Tuesday,12,2018-12,266.17,266.77,258.84,260.6,129941400,237.59,-0.017011857106637662,246.50857142857143,248.3198
2018-03-28,2018,3,28,Wednesday,12,2018-12,260.75,262.64,258.58,259.83,146452300,236.88,-0.0029548212531593787,245.65000000000003,248.02740000000003
2018-03-29,2018,3,29,Thursday,12,2018-12,261.12,265.26,259.84,263.15,111601600,239.91,0.012777628515279416,244.69857142857146,247.74759999999998
2018-04-02,2018,4,2,Monday,13,2018-13,262.55,263.13,254.67,257.47,186286300,234.73,-0.021584645982917983,243.4,247.37279999999998
